survived,pclass,sex,age,sibsp,parch,fare,embarked,embark_town,who,deck
1,2,female,59.20231498571705,0,0,32.10090090069137,S,Southampton,woman,E
1,3,female,20.519991077953264,0,2,7.8665882097755375,S,Southampton,woman,
0,3,male,39.3893352081303,0,0,10.876357767774573,S,Southampton,man,
1,3,female,33.190096125690886,0,0,13.574281392214889,C,Cherbourg,woman,G
1,1,male,47.22437805158317,2,0,97.33101893340532,S,Southampton,man,
0,1,male,,1,0,134.32145640708174,S,Southampton,man,E
1,1,female,29.44805808692073,4,0,110.12905497328268,S,Southampton,woman,C
0,3,male,18.452149815153433,0,1,8.331440556436695,S,Southampton,man,
0,3,male,35.43961000114763,3,0,11.49536531544174,S,Southampton,man,D
0,3,male,19.511984823470513,0,0,22.342793732941956,Q,Queenstown,man,
0,1,male,57.18742146537272,0,0,97.62001488137179,S,Southampton,man,G
0,3,male,30.911494635158324,0,3,5.773671173284584,S,Southampton,man,
0,3,male,23.88549828163048,0,0,15.956979635811122,S,Southampton,man,
0,1,male,31.585524282108718,1,0,86.49664406495602,S,Southampton,man,C
1,1,female,10.140231946584251,0,0,22.104040806614375,Q,Queenstown,child,
1,1,female,15.397403460850878,0,0,78.71390231568178,S,Southampton,child,
0,2,male,45.80579471122196,0,0,20.8931317518204,S,Southampton,man,
0,3,male,,0,0,11.884382971978626,S,Southampton,man,
0,2,male,14.343246242452846,0,1,43.38153645349198,S,Southampton,child,
0,2,male,36.513138535382005,0,0,16.142490115530496,S,Southampton,man,C
0,3,male,45.59985816528196,1,1,12.59124538335949,S,Southampton,man,F
0,1,male,39.065346349310936,1,0,22.632825180050688,S,Southampton,man,
0,2,male,42.94466760128143,0,0,27.10735814241035,S,Southampton,man,
0,2,male,18.404868760027547,0,0,42.39751592133772,S,Southampton,man,
0,3,male,9.09465066561419,0,0,14.476669348060826,S,Southampton,child,
0,3,male,50.01867112737681,1,0,6.05915057161783,S,Southampton,man,G
1,1,female,,0,0,45.43877056021692,S,Southampton,woman,
0,3,female,25.488337769629336,0,0,7.2734584352778615,C,Cherbourg,woman,F
0,3,male,47.59471798588681,0,0,7.139614002712559,C,Cherbourg,man,
1,1,female,,0,6,104.54294642134474,S,Southampton,woman,B
0,3,male,35.38242880914251,0,0,27.2103102200627,S,Southampton,man,
1,1,female,59.31003282861518,1,2,139.21308921862115,S,Southampton,woman,G
1,1,female,19.990744774678,0,0,209.31483574949587,S,Southampton,woman,
0,3,male,,0,0,23.13335216368755,C,Cherbourg,man,D
0,3,male,29.798183748559183,1,0,5.6316370700381615,S,Southampton,man,
0,3,male,32.7602919040856,1,0,6.340472285123057,S,Southampton,man,
0,2,male,50.39855796977544,0,0,41.919787372981794,C,Cherbourg,man,G
0,1,male,36.109700588054736,0,0,145.40276014017599,C,Cherbourg,man,
0,3,male,36.53614510669486,0,2,11.95427424704507,S,Southampton,man,C
0,2,male,,2,1,18.29160780349578,S,Southampton,man,
1,1,female,23.890661786399605,0,0,46.57019410961644,S,Southampton,woman,
1,3,female,17.251064657253913,2,0,15.790549505550805,S,Southampton,child,
0,1,male,14.37267128370553,1,0,153.91706215298737,Q,Queenstown,child,
0,3,male,1.4710077487359747,0,0,3.5987542410455973,C,Cherbourg,child,
0,2,male,57.78689981916451,0,0,12.020177686990579,C,Cherbourg,man,
0,3,male,13.555082879896435,0,2,12.337651060667193,S,Southampton,child,
1,2,female,25.90244926979919,0,0,37.760808111550745,C,Cherbourg,woman,
0,3,male,25.12461380155511,0,0,11.700522758881723,S,Southampton,man,
0,3,male,33.30369376932741,0,0,6.392998303014767,S,Southampton,man,
0,1,male,40.420320975550155,3,0,189.9216017428069,S,Southampton,man,B
0,3,male,41.04662883703644,0,0,20.325966037972325,S,Southampton,man,
1,3,female,20.836915860034864,1,0,14.13265855364368,C,Cherbourg,woman,A
1,3,female,26.66029600699024,0,0,12.11205632719165,S,Southampton,woman,
0,3,male,32.95611930683619,0,0,20.643043452609874,S,Southampton,man,
0,3,male,,0,0,16.25442461979868,S,Southampton,man,
0,3,male,51.5028380642799,0,5,29.018628178519588,S,Southampton,man,
1,1,female,35.87364932293552,2,0,89.0441988690388,S,Southampton,woman,
1,1,female,39.28828900469745,0,0,103.27057436080611,S,Southampton,woman,
0,1,male,38.28033776134378,0,0,512.0,C,Cherbourg,man,
0,2,male,45.428634004794546,0,0,15.950260540375343,S,Southampton,man,
1,2,female,31.534301821851898,0,0,48.84199364112645,S,Southampton,woman,
0,2,male,10.844352728618148,0,1,40.854552256753756,S,Southampton,child,G
1,3,female,34.59563132453698,1,0,21.67551106319339,C,Cherbourg,woman,
0,2,male,19.881003486914395,1,0,37.607406055473604,S,Southampton,man,
0,2,male,21.599366455503404,0,0,29.096209886537444,S,Southampton,man,
0,3,male,,0,0,4.042603139912883,S,Southampton,man,
0,1,male,46.335963000070905,0,1,238.32189251207274,S,Southampton,man,
0,3,male,29.29780207430486,0,1,9.770125232688752,S,Southampton,man,
1,1,female,33.3236621763855,0,0,77.43090461776251,C,Cherbourg,woman,
0,3,male,,0,1,5.476854781798806,S,Southampton,man,
0,3,male,32.370544512839956,0,0,24.59887178833208,S,Southampton,man,
0,1,male,,0,4,122.71870429983458,C,Cherbourg,man,
1,1,male,36.91713503884162,0,0,25.189177837986772,S,Southampton,man,
0,3,male,4.349321371818551,0,4,6.693542283607355,S,Southampton,child,
0,3,male,39.546782695463456,0,0,4.252168500858189,S,Southampton,man,
1,3,female,34.33621738835889,0,0,12.89341273892593,S,Southampton,woman,
0,3,male,47.05653855715844,1,0,36.00484348665367,S,Southampton,man,
0,1,male,38.424538917779415,0,5,24.493603876378103,S,Southampton,man,
0,2,male,27.061616224227166,0,1,37.84858922546848,C,Cherbourg,man,
1,1,female,11.85982469194888,0,0,79.44882587013554,Q,Queenstown,child,B
1,3,female,,1,0,14.002792622475496,S,Southampton,woman,
1,3,female,17.0927136410698,0,0,16.433631181660292,S,Southampton,child,
0,2,male,20.872671702733882,0,0,26.909658858650186,S,Southampton,man,
0,1,male,37.240097661888534,0,0,73.65269256550313,C,Cherbourg,man,
0,2,male,,1,0,57.60819919919051,S,Southampton,man,
0,2,male,34.525401417521735,2,1,16.686342970167946,S,Southampton,man,
0,3,male,12.257637131507419,0,0,11.629016766161227,C,Cherbourg,child,D
0,3,male,35.22443735508197,1,1,11.76279904995519,S,Southampton,man,
0,3,male,,2,0,20.00219445726874,C,Cherbourg,man,
0,3,male,20.46303933952865,2,0,6.426182734452948,S,Southampton,man,
1,1,female,,0,0,508.3497178892781,C,Cherbourg,woman,
0,3,male,29.20563472620876,0,0,38.36721356329939,C,Cherbourg,man,
0,3,male,18.01142361684864,0,0,24.494193551188438,S,Southampton,man,
0,3,female,38.075926073814024,1,0,27.371639684014188,S,Southampton,woman,
0,3,male,27.306725919491058,0,0,12.362393771447055,S,Southampton,man,
1,3,female,34.87345421469839,0,0,14.770006523442605,Q,Queenstown,woman,
0,3,male,16.5751095107706,0,0,22.22775426201787,S,Southampton,child,
0,2,male,22.875583795472252,1,0,11.314659907440364,S,Southampton,man,
1,1,female,39.1133390095888,1,1,64.27076570652243,S,Southampton,woman,
1,1,female,23.780335870715263,0,2,38.61209998801371,S,Southampton,woman,
1,1,female,53.17749391726767,1,0,227.16399680030185,S,Southampton,woman,
0,3,male,,0,0,10.317756949127068,S,Southampton,man,
0,2,male,32.145586160526406,1,0,22.615785800901673,S,Southampton,man,F
0,3,male,,0,2,5.740253699090862,Q,Queenstown,man,F
0,3,male,9.142879738937555,0,0,8.731961058735958,S,Southampton,child,
1,2,female,4.3486766322691395,2,0,35.48530316494887,S,Southampton,child,D
0,2,male,7.640811596018672,0,0,13.850627028965672,C,Cherbourg,child,
1,3,female,46.67617744798055,1,0,12.019596612018171,S,Southampton,woman,
0,1,male,21.273985957505744,0,0,54.27337640110865,Q,Queenstown,man,C
0,1,male,64.81478999935553,0,1,32.269802765286656,S,Southampton,man,
0,2,male,21.10053361879656,0,0,18.284831704622526,S,Southampton,man,C
1,1,female,31.58371824475852,0,0,100.20017300635428,S,Southampton,woman,
1,3,female,,0,0,23.20048459905792,S,Southampton,woman,C
1,3,female,57.08530043422772,0,0,8.343582408494544,S,Southampton,woman,
1,3,female,57.86105007290957,0,2,10.188706663256324,S,Southampton,woman,
0,3,female,45.917127228304,0,0,19.32537488528922,C,Cherbourg,woman,
1,3,female,43.33687536136047,3,1,8.877913498555136,S,Southampton,woman,
0,1,male,37.29537728881657,3,0,120.41748301964432,S,Southampton,man,D
0,3,male,,0,0,15.475502018446157,S,Southampton,man,
0,3,male,21.283399971400534,1,2,19.51358811650381,Q,Queenstown,man,E
0,3,female,17.5452156320877,0,0,4.192894985069228,S,Southampton,child,
0,3,female,28.95275759624667,0,1,18.70605727638206,S,Southampton,woman,
0,2,male,26.617415284651003,1,0,31.196109115862715,S,Southampton,man,
1,1,female,22.654807309418146,2,1,71.89070245567338,S,Southampton,woman,
1,1,female,,0,0,35.55952022422594,S,Southampton,woman,
0,2,male,42.37427291998715,1,0,14.650688961211658,Q,Queenstown,man,
0,3,male,30.237696408085863,0,1,27.44193145199315,S,Southampton,man,
1,3,female,,5,2,27.328852099231526,C,Cherbourg,woman,A
0,1,male,13.016352402130929,0,2,136.4334344926589,S,Southampton,child,F
0,3,female,26.288767570083948,0,1,14.509845091972165,S,Southampton,woman,F
0,2,male,18.964487511560733,0,1,23.16780997446309,C,Cherbourg,man,C
1,1,female,2.8684873609771593,1,0,512.0,S,Southampton,child,
1,1,female,,0,0,149.3298556564277,Q,Queenstown,woman,
1,2,female,27.29553488263403,2,0,27.253543702166272,S,Southampton,woman,
0,3,male,,0,0,15.531870050753783,Q,Queenstown,man,
1,2,female,37.83136358376689,0,0,16.62574848335462,S,Southampton,woman,
1,3,female,,0,0,7.298291319421314,S,Southampton,woman,B
0,3,male,54.95729592867863,0,0,26.424099268213443,S,Southampton,man,F
1,2,female,46.09447173735494,0,0,16.312350258512296,S,Southampton,woman,A
0,3,male,37.14936784856062,0,0,41.64681747876512,S,Southampton,man,
0,3,male,25.829222616102353,0,0,4.593786538378447,S,Southampton,man,
0,2,male,15.567850685871283,0,0,18.658396114996247,S,Southampton,child,
0,3,male,23.789105135005258,0,1,12.42341877126909,S,Southampton,man,
0,2,male,44.2424806758586,1,0,24.96322570806668,C,Cherbourg,man,
1,2,female,55.384208283084526,1,0,16.426572466988972,S,Southampton,woman,
0,1,male,50.605409395810646,0,0,237.94914294671432,S,Southampton,man,A
1,3,female,22.156108094992163,0,0,6.194375633614448,S,Southampton,woman,
0,3,male,13.325355933953844,0,0,6.085051328547385,S,Southampton,child,
1,1,male,30.972407456756855,0,0,18.938805249797685,S,Southampton,man,
0,2,male,4.2418488821200775,0,0,39.56327830694429,S,Southampton,child,
0,3,female,33.52434799858694,0,0,8.854035553454064,Q,Queenstown,woman,G
1,1,male,,0,0,34.268184808995784,C,Cherbourg,man,
0,1,male,,0,2,52.532200619064724,S,Southampton,man,
1,3,female,6.674157058264864,0,2,31.919387296228887,S,Southampton,child,
0,3,male,36.19040149197603,1,0,25.390162771397623,S,Southampton,man,D
0,2,male,,3,0,21.97582827096856,S,Southampton,man,
0,3,male,12.621164300055966,0,0,6.9627690977305585,S,Southampton,child,
1,3,female,0.5,0,0,3.5,S,Southampton,child,B
0,1,male,28.61479132929109,1,2,43.00440282239541,S,Southampton,man,
1,3,female,53.81152235337642,2,0,19.29475092156237,S,Southampton,woman,
0,2,male,,0,1,63.18682918205072,S,Southampton,man,
1,3,female,22.600652407792193,0,0,16.06235517334882,C,Cherbourg,woman,
1,3,female,20.56903115493507,0,3,4.88710160541695,S,Southampton,woman,
1,3,female,35.562839585050334,0,0,19.663913477124684,C,Cherbourg,woman,
0,1,male,15.02260385136392,0,1,136.65576366970996,Q,Queenstown,child,G
1,3,female,33.225086597472526,0,0,12.271773764634071,S,Southampton,woman,B
0,2,male,39.725123897385664,0,0,22.662943684214206,S,Southampton,man,
0,1,male,46.17706513438031,0,0,268.30027542373375,S,Southampton,man,
0,1,male,27.59784292928066,1,0,52.04426964856466,Q,Queenstown,man,
1,3,female,26.148567497522478,0,2,21.773130885122285,Q,Queenstown,woman,
0,3,female,16.708243785408143,0,2,15.477622862272018,S,Southampton,child,
1,1,female,,0,1,327.26113301590186,S,Southampton,woman,
0,3,male,,0,0,14.80248306413959,C,Cherbourg,man,
0,1,male,34.14311709542649,3,1,27.12008873238064,S,Southampton,man,
1,3,female,41.790184767265494,0,0,4.32491993814066,C,Cherbourg,woman,
0,1,male,17.755494690475174,0,0,59.75176655845649,Q,Queenstown,child,
0,3,male,49.8976399654333,1,0,11.983963820153566,S,Southampton,man,
0,2,male,25.204269585404038,0,0,22.714447309653448,S,Southampton,man,
0,3,male,28.700857879121894,1,0,18.396749276640563,S,Southampton,man,
0,1,male,18.539036491930474,0,0,41.43496861434645,S,Southampton,man,
0,2,male,0.5,0,0,15.76828385456459,S,Southampton,child,G
0,1,male,,0,1,47.41405640944626,C,Cherbourg,man,
0,3,male,39.31581455929407,0,0,13.069411890074878,Q,Queenstown,man,
1,3,female,25.061414200345013,1,0,14.037526217778703,Q,Queenstown,woman,
0,2,male,29.93787004114821,1,0,29.041941313572956,S,Southampton,man,
0,3,male,36.22314904785739,0,0,9.673281245052996,C,Cherbourg,man,
1,3,female,7.1243580035884015,0,0,10.767580388813775,C,Cherbourg,child,
0,3,male,21.59326251715187,1,0,31.92444124142325,S,Southampton,man,
1,3,female,,2,0,3.5,S,Southampton,woman,C
1,2,female,11.439948075630507,0,0,38.029306767065805,S,Southampton,child,G
0,1,male,33.10981105033281,0,0,223.7251970160464,Q,Queenstown,man,
0,3,male,,0,1,5.348159524654535,S,Southampton,man,
1,3,female,,1,0,24.728718932373795,C,Cherbourg,woman,A
1,3,female,28.50101924783523,0,0,18.89956378311218,S,Southampton,woman,
0,2,male,,0,1,23.794423488017962,S,Southampton,man,G
0,2,male,45.3063509624004,1,0,16.871066309337383,S,Southampton,man,
0,3,male,18.71571792482731,0,0,41.926035280775295,S,Southampton,man,
1,3,female,17.656465881798667,0,1,17.034391027585947,S,Southampton,child,
0,3,male,31.807968761233198,0,0,11.09077380916403,S,Southampton,man,F
1,3,female,45.080922892002015,0,0,14.965623830346187,C,Cherbourg,woman,
0,3,male,14.778494534302443,0,0,25.689477621916904,S,Southampton,child,
0,1,male,,0,0,73.06369747110868,S,Southampton,man,
0,1,male,35.00343100462802,0,0,65.84684757771954,S,Southampton,man,
0,3,male,38.70347850168402,0,0,10.12111657469844,S,Southampton,man,C
0,3,male,31.47018177388115,1,0,3.5,S,Southampton,man,
0,1,male,23.861610252833486,1,0,69.59550621519065,S,Southampton,man,
0,1,male,17.413736910917926,0,0,265.63211175685564,C,Cherbourg,child,
0,3,female,,0,0,12.576570360599954,S,Southampton,woman,C
0,1,male,,0,0,38.41076756652157,C,Cherbourg,man,
1,1,male,0.5,0,0,42.14134398067809,Q,Queenstown,child,
1,3,female,35.11183725820735,0,0,33.32372221227582,S,Southampton,woman,
1,3,female,,0,2,5.0718186448236775,S,Southampton,woman,G
1,3,female,0.5,0,0,24.89722643164308,S,Southampton,child,
1,1,female,14.863770134060875,0,0,40.24174215519446,Q,Queenstown,child,
0,3,male,37.66815965407277,0,0,4.350888386425317,Q,Queenstown,man,E
0,1,male,57.80493657596378,1,0,46.67975945644331,S,Southampton,man,
1,2,female,,0,2,20.090905595979063,C,Cherbourg,woman,
1,3,female,18.807958822792116,0,0,7.195886812259723,S,Southampton,woman,
0,3,male,26.43944982453224,0,2,5.236994070840793,Q,Queenstown,man,
1,3,female,48.24826986807459,1,0,10.675903402514848,Q,Queenstown,woman,E
0,3,male,19.956501492256507,1,0,11.285919384605206,S,Southampton,man,
0,3,male,,0,0,12.956366864889471,S,Southampton,man,
0,1,male,22.241590689451545,0,1,27.156267721693574,S,Southampton,man,
0,2,male,15.653399484378028,0,0,12.777748734851262,S,Southampton,child,B
0,2,male,30.717384423927136,0,0,15.692807606315323,C,Cherbourg,man,
0,2,male,51.745498418573845,0,0,10.797449428366878,S,Southampton,man,
1,3,female,33.52310982362441,1,0,11.138227411798796,S,Southampton,woman,
0,2,male,25.467050970231973,0,2,13.48620355308959,S,Southampton,man,
0,3,male,24.914642235182384,1,0,15.063315916812446,Q,Queenstown,man,
1,3,female,7.115328678246801,0,0,6.7694501284471995,S,Southampton,child,
1,3,female,41.363536880060224,0,0,13.43705532099814,S,Southampton,woman,
1,3,female,27.91027924182077,1,0,26.80115514235905,S,Southampton,woman,
1,3,female,26.47328120973124,0,2,6.894684709849093,Q,Queenstown,woman,C
1,3,female,,0,0,23.028987652806716,C,Cherbourg,woman,
0,1,male,33.18254071711961,0,0,296.87494986916334,S,Southampton,man,A
0,3,male,18.47492529866742,0,1,34.88011448327408,S,Southampton,man,A
0,2,male,23.030993653122394,5,0,12.025037583570324,S,Southampton,man,G
1,1,male,45.07823992875457,0,0,53.91808170877152,S,Southampton,man,
0,3,male,30.585785747528703,4,0,18.39986026397969,S,Southampton,man,A
1,1,female,8.864108303556865,3,0,63.612723469373925,Q,Queenstown,child,
0,3,male,41.86920508405285,1,0,7.3531610200254995,S,Southampton,man,E
0,3,male,19.645982802454085,0,2,9.145812182799151,C,Cherbourg,man,
0,3,male,55.22616886704564,0,0,11.860767214064715,S,Southampton,man,C
1,2,female,44.12067292000508,1,0,7.07161561813452,S,Southampton,woman,
0,1,male,22.737493460777483,0,2,51.349849400079535,C,Cherbourg,man,
1,3,female,46.934229064291586,0,0,12.352375532297355,S,Southampton,woman,
0,2,male,29.949977147383645,0,0,17.89101662269747,S,Southampton,man,C
0,3,male,40.938831451711074,0,0,13.681836427964887,S,Southampton,man,
0,3,male,35.78625944212265,0,2,26.733543871346395,S,Southampton,man,
1,3,female,17.15100683012777,0,0,11.65100919156003,S,Southampton,child,G
0,2,male,19.990302347555534,0,1,22.01531618223318,S,Southampton,man,
1,2,female,,1,1,15.338702808113181,Q,Queenstown,woman,
0,3,male,24.313145350508428,0,0,12.930492593081373,S,Southampton,man,
0,2,male,23.348921514612044,2,0,39.03528601805992,C,Cherbourg,man,
1,1,female,15.628283889109058,1,1,287.7982165240066,S,Southampton,child,
1,3,female,,1,0,8.235738386828318,C,Cherbourg,woman,
0,3,female,57.87534886940403,0,1,8.442628626779925,S,Southampton,woman,
1,3,female,14.05453920044018,1,2,8.874691613122987,C,Cherbourg,child,
1,3,female,,0,0,27.435601535126104,S,Southampton,woman,F
1,1,female,48.771087775816014,1,0,14.775325670829895,S,Southampton,woman,
1,3,female,27.885020522559987,0,1,15.446142578215417,S,Southampton,woman,
1,3,female,,1,1,12.435597034409433,S,Southampton,woman,
1,1,female,14.126490605943683,5,0,100.89713093586721,S,Southampton,child,E
0,3,male,34.99629936090708,0,0,14.670461750309682,S,Southampton,man,B
0,3,female,26.379980289936316,0,0,16.207128804395367,S,Southampton,woman,
0,3,male,42.80021993951808,1,0,17.353314729114558,C,Cherbourg,man,
1,3,female,,0,0,3.5,S,Southampton,woman,
1,3,female,,1,0,27.655749562041724,S,Southampton,woman,
0,2,male,,0,0,14.854168727590983,C,Cherbourg,man,
1,2,female,,0,0,20.78691808156117,S,Southampton,woman,B
0,3,male,31.721380222082704,3,0,19.003900896007984,S,Southampton,man,
0,3,male,24.055671900650363,0,0,7.199285238246615,S,Southampton,man,
1,3,female,33.73877380846368,1,0,18.106590199271302,Q,Queenstown,woman,
0,3,male,24.864380258053586,0,0,9.666864971998159,C,Cherbourg,man,
1,3,female,,0,0,3.5154716291155443,C,Cherbourg,woman,
1,3,female,47.44636549851144,0,0,24.54836259602633,S,Southampton,woman,
0,3,male,14.908404086085024,0,0,7.652045687261325,C,Cherbourg,child,
0,3,male,44.95829985580664,1,0,7.2958370791122125,S,Southampton,man,
0,3,male,47.439610942758115,0,2,9.56547707857056,S,Southampton,man,
0,3,male,27.347040622124897,0,0,14.344147728090533,S,Southampton,man,
1,3,female,0.5,0,2,11.770986746760709,S,Southampton,child,
0,2,male,20.490492180677947,1,0,35.54896874308164,S,Southampton,man,
0,2,male,47.157923651855526,0,0,23.4299651919205,S,Southampton,man,
0,1,male,28.679847127815652,1,2,36.27868320302532,S,Southampton,man,
0,3,male,15.009768747871249,0,0,11.363446502758244,S,Southampton,child,D
1,1,female,21.933151102804956,0,0,208.9922828277391,S,Southampton,woman,
0,3,male,40.768680371063745,1,0,11.378350568672381,S,Southampton,man,
1,3,female,36.65426995481931,0,0,23.362527694281308,C,Cherbourg,woman,
0,2,male,25.65495061162428,0,0,13.401955704174382,S,Southampton,man,
1,3,female,23.864458234594373,0,0,9.11393733869264,C,Cherbourg,woman,
0,1,male,23.515385913386496,0,0,10.196375028944537,S,Southampton,man,A
0,1,male,16.086257417020967,1,0,44.72736290572048,S,Southampton,child,A
1,3,female,,0,2,17.49976484440202,S,Southampton,woman,
0,2,male,24.487513431041243,1,0,40.83181757620491,S,Southampton,man,
